Energy,flux_ν,10.0
0.08979130634394267,212.9607589421387,0.028553977335104938
0.269373919031828,1878.4953840043243,0.1205288183519923
0.44895653171971334,5113.121836097998,0.2419691698566935
0.6285391444075986,9818.142911679777,0.330705156636738
0.808121757095484,15896.889231571336,0.4060286382263722
0.9877043697833693,23254.72022016763,0.46723058907393106
1.1672869824712546,31799.025085055593,0.5176138507954942
1.34686959515914,41439.22379707321,0.6042895310134083
1.5264522078470253,52086.768070791084,0.5655444777401448
1.7060348205349107,63655.1423454023,0.6364143786114225
1.885617433222796,76059.86476605717,0.6961331328620362
2.0652000459106814,89218.48816560797,0.5966108148118722
2.2447826585985666,103050.60104680754,0.7121502310284302
2.424365271286452,117477.82856488165,0.6490037640096502
2.603947883974337,132423.83351057747,0.6597294255440909
2.7835304966622227,147814.3172936136,0.6190800254663945
2.963113109350108,163577.02092656083,0.5754133091515218
3.142695722037993,179641.72600914966,0.5341761041953589
3.3222783347258784,195940.25571299074,0.5540511780356827
3.501860947413764,212406.47576678722,0.5119094814816144
3.6814435601016493,228976.29544184628,0.47232986357415596
3.8610261727895345,245587.6685381434,0.42033181125175295
4.04060878547742,262180.5943707332,0.45203699233626493
4.220191398165305,278697.11875671265,0.4116363792329749
4.39977401085319,295081.3350023309,0.4375784388080559
4.579356623541076,311279.3848908785,0.3140548686677898
4.7589392362289615,327239.4596708374,0.32387866605522125
4.938521848916847,342911.80104434764,0.27342806108239665
5.118104461604732,358248.70215630427,0.27684370750338094
5.297687074292616,373204.50858374574,0.2679807195205303
5.477269686980503,387735.61932583665,0.2156542375652902
5.656852299668388,401800.48779399187,0.21948109235211163
5.836434912356274,415359.62280271645,0.20835319572595493
6.016017525044158,428375.5895607318,0.1662197218084686
6.195600137732044,440813.01066256134,0.15396882860999936
6.3751827504199285,452638.56708054326,0.12751321267193183
6.5547653631078155,463820.99915723637,0.1237690286640908
6.734347975795699,474331.1075984536,0.14116206447883703
6.913930588483586,484141.7544663312,0.10231153212706762
7.09351320117147,493227.8641732176,0.08304363615585185
7.273095813859356,501566.42447575956,0.08814988516409056
7.452678426547241,509136.48746972816,0.07617256550770843
7.632261039235127,515919.17058453395,0.06766456428191181
7.811843651923011,521897.65757934924,0.05921696513327222
7.991426264610897,527057.1995384744,0.047196181945098725
8.171008877298782,531385.1158679003,0.04021576437944157
8.350591489986668,534870.795292016,0.03580228954166915
8.530174102674552,537505.6968507397,0.03296131455490309
8.709756715362438,539283.3508973634,0.031959364381544876
8.889339328050323,540199.3600962693,0.02470607590235031
9.06892194073821,540251.4004216378,0.02252953137331687
9.248504553426095,539439.2221562467,0.01821184064492025
9.428087166113981,537764.650891133,0.014420344629072525
9.607669778801865,535231.5885247585,0.014428035117858557
9.787252391489751,531846.0142637806,0.009915213848475782
9.966835004177636,527615.9856236526,0.01033566214139498
10.146417616865522,522551.63942938636,0.007890796593373824
10.326000229553406,516665.1928173264,0.008143912501900911
10.505582842241292,509970.9442369726,0.005771276992991807
10.685165454929177,502485.27445370884,0.004778644250798673
10.864748067617063,494226.6475508756,0.004436998243868717
11.044330680304947,485215.61193398497,0.0030014707597159095
11.223913292992833,475474.80133365944,0.0027218424433464628
11.403495905680717,465028.93581010273,0.0019857544757052627
11.583078518368604,453904.82275759545,0.0017360626490586007
11.762661131056488,442131.35790942283,0.0020006215118921287
11.942243743744376,429739.5263435937,0.0013454597373406079
12.121826356432258,416762.40348828584,0.0005507575355723169
12.301408969120146,403235.1561284373,0.0009269281908908094
12.48099158180803,389195.0434123472,0.0007661793505660876
12.660574194495917,374681.41785921226,0.00039411010392330446
12.840156807183801,359735.72636603366,0.0002688768533164641
13.019739419871687,344401.5112163116,0.0003888663340456361
13.199322032559571,328724.41108846036,0.00019962204423723168
13.378904645247458,312752.16206438956,0.00012519201407380903
13.558487257935342,296534.59863914974,7.399121648116278e-5
13.738069870623228,280123.6547306015,3.507303021177491e-5
13.917652483311112,263573.3646899875,5.474795629354532e-5
14.097235095998998,246939.8643118886,2.8418882992599138e-5
14.276817708686883,230281.3918462596,1.9394167202780434e-5
14.456400321374769,213658.2890092099,1.7180582714695488e-5
14.635982934062653,197133.00199562774,1.1414844355889207e-5
14.815565546750541,180770.08249094326,1.2338555676187616e-5
14.995148159438424,164636.18868455483,3.13422558904694e-6
15.174730772126312,148800.0862830636,6.806441131759698e-6
15.354313384814196,133332.64952374823,2.020198804508845e-6
15.533895997502082,118306.86218898649,8.172158035271821e-8
15.713478610189966,103797.81862078459,5.598281712383629e-7
15.893061222877853,89882.72473608113,2.444109764684467e-7
16.072643835565735,76640.89904175971,6.805386975587747e-8
16.252226448253623,64153.773651228934,9.582443524751475e-8
16.431809060941507,52504.89530033538,5.606626377811828e-8
16.611391673629395,41779.92636441648,1.2384470442170913e-9
16.79097428631728,32066.645875534472,4.208736603655172e-10
16.970556899005164,23454.950540171438,1.353720459969938e-9
17.150139511693048,16036.855757488045,8.544430348622725e-11
17.329722124380936,9906.496637772078,0.0
17.50930473706882,5160.129021588389,0.0
17.688887349756705,1896.1304992306734,0.0
17.86846996244459,215.00143068502706,0.0
